,Population Forecast,yhat_lower,yhat_upper,Type,Region,Year
206,873127.2003459176,864719.6362570536,881746.9126711689,Forecast,Кызылординская,2026
207,883009.2391932376,870659.3273289676,895781.4394141822,Forecast,Кызылординская,2027
208,567841.778334,566923.250373898,568844.3725807219,Historical,Мангистауская,2013
209,587369.1148223954,586399.6829933667,588384.1432926544,Historical,Мангистауская,2014
210,606896.451250767,605945.4023300215,607856.594390948,Historical,Мангистауская,2015
211,626423.7872054708,625433.2913672731,627312.3352954867,Historical,Мангистауская,2016
212,643111.5487658198,642173.7612602962,643929.1534934954,Historical,Мангистауская,2017
213,660317.1175482178,659442.5346699716,661287.5088387567,Historical,Мангистауская,2018
214,678199.1095312802,677321.166690892,679143.2215665226,Historical,Мангистауская,2019
215,698180.1725005601,697335.7808075254,699203.712308901,Historical,Мангистауская,2020
216,721322.0673908034,720310.679372065,722259.8177351787,Historical,Мангистауская,2021
217,744400.7330600352,743431.0218110286,745296.2205609642,Historical,Мангистауская,2022
218,767479.3987292668,766466.3384550542,768443.438215252,Historical,Мангистауская,2023
219,790494.835177487,789248.1932461413,791701.1976815411,Forecast,Мангистауская,2023
220,813636.7300677302,810577.3203355009,816272.3257334707,Forecast,Мангистауская,2024
221,836715.395736962,831083.0813699636,841471.6141796568,Forecast,Мангистауская,2025
222,859794.0614061938,850974.9690254667,867244.0318707641,Forecast,Мангистауская,2026
223,882872.7270754256,870411.3306611965,893140.5086731178,Forecast,Мангистауская,2027
224,749437.77042,748231.4900079995,750624.6528891838,Historical,Павлодарская,2013
225,752677.4370784272,751466.0808359729,753872.6147260183,Historical,Павлодарская,2014
226,755792.2104990731,754489.9708984098,756915.0932450922,Historical,Павлодарская,2015
227,758521.2423811897,757308.7570427256,759742.8857523206,Historical,Павлодарская,2016
228,756849.9250054279,755583.4715282614,758094.3075970785,Historical,Павлодарская,2017
229,755178.4831136895,753945.1742692356,756394.1729923063,Historical,Павлодарская,2018
230,753507.0416845643,752229.1057297885,754751.373592987,Historical,Павлодарская,2019
231,751835.6003298006,750676.0545243269,753042.044239049,Historical,Павлодарская,2020
232,753095.482164456,751888.0092551098,754362.3744211319,Historical,Павлодарская,2021
233,754351.9216990168,753137.2183852723,755575.1177444202,Historical,Павлодарская,2022
234,755608.3612335775,754351.1094460104,756800.8836810343,Historical,Павлодарская,2023
235,756861.3584680435,755416.6299623831,758458.3797447813,Forecast,Павлодарская,2023
236,758121.2403026989,755780.5570283731,761016.7476710387,Forecast,Павлодарская,2024
237,759377.6798372596,754764.1175596118,764429.1970758662,Forecast,Павлодарская,2025
238,760634.1193718205,753286.029234486,768480.2954630489,Forecast,Павлодарская,2026
239,761890.558906381,751532.5716026607,773533.6431356492,Forecast,Павлодарская,2027
240,579700.0,579629.9015427196,579763.4312660238,Historical,Северо-Казахстанская,2013
241,575941.3137740963,575878.6358525602,576006.0338004946,Historical,Северо-Казахстанская,2014
242,571832.7650898495,571766.653118867,571897.8565608119,Historical,Северо-Казахстанская,2015
243,569589.3994095181,569525.9777933413,569654.3633202012,Historical,Северо-Казахстанская,2016
244,563300.921012747,563230.6081739827,563367.451527041,Historical,Северо-Казахстанская,2017
245,558584.9245086205,558519.9956011164,558650.6446236246,Historical,Северо-Казахстанская,2018
246,554512.3902424459,554445.7892367633,554579.3482207934,Historical,Северо-Казахстанская,2019
247,548717.4675907289,548656.3498173961,548784.8500915914,Historical,Северо-Казахстанская,2020
248,543849.6987470301,543786.3880157908,543918.3629565404,Historical,Северо-Казахстанская,2021
249,538995.2298182048,538928.0432536494,539061.7255055518,Historical,Северо-Казахстанская,2022
250,534140.7608893795,534078.9013012494,534208.7815426108,Historical,Северо-Казахстанская,2023
251,529299.5918754276,528217.6586683786,530267.4364866788,Forecast,Северо-Казахстанская,2023
252,524431.8230317289,520919.1392794039,527499.3565055104,Forecast,Северо-Казахстанская,2024
253,519577.35410290357,512839.4211512465,526010.705833123,Forecast,Северо-Казахстанская,2025
254,514722.8851740783,504730.8107338695,525398.3892459414,Forecast,Северо-Казахстанская,2026
255,509868.416245253,496062.76651311707,525693.0473482918,Forecast,Северо-Казахстанская,2027
256,2713006.2371610003,2410394.702466654,3004904.84682614,Historical,Туркестанская,2013
257,2629356.6038713013,2336919.8870185316,2935408.521905402,Historical,Туркестанская,2014
258,2545706.971397803,2251944.638377678,2858746.9922666415,Historical,Туркестанская,2015
259,2462057.339181504,2127442.7298354143,2757114.876215895,Historical,Туркестанская,2016
260,2378178.530186108,2081996.9201337683,2683550.941798632,Historical,Туркестанская,2017
261,2294528.899361059,1976110.9361097666,2586212.1213657493,Historical,Туркестанская,2018
262,2210879.268196587,1906213.8919053033,2536034.6693629986,Historical,Туркестанская,2019
263,2127229.636993288,1821386.285956958,2443486.9140791497,Historical,Туркестанская,2020
264,2043350.8290489183,1753014.9217561826,2354618.344078953,Historical,Туркестанская,2021
265,1959701.198175435,1652960.9553314417,2252302.9098462015,Historical,Туркестанская,2022
266,1876051.5673019516,1567438.190828619,2159114.1367683904,Historical,Туркестанская,2023
267,1792631.113499354,1488794.6398760176,2091572.995003086,Forecast,Туркестанская,2023
268,1708752.305554984,1408481.5583884371,2013449.1276048077,Forecast,Туркестанская,2024
269,1625102.6746815005,1318070.9437964961,1925292.5700452528,Forecast,Туркестанская,2025
270,1541453.043808017,1244780.4571925201,1848568.6233881125,Forecast,Туркестанская,2026
271,1457803.4129345333,1143931.7241491047,1761425.934725223,Forecast,Туркестанская,2027
272,-25520.148508000002,-69626.86038110254,15132.639110975977,Historical,Улытау,2013
273,-16313.35133356955,-58717.21611965048,24757.370461711478,Historical,Улытау,2014
274,-7106.554166350242,-50436.33844355788,33458.585424624405,Historical,Улытау,2015
275,2100.2430024992973,-37806.734710280936,44620.70922009665,Historical,Улытау,2016
276,11332.264276073198,-30621.117361996414,52495.3905024142,Historical,Улытау,2017
277,20539.061442282407,-18140.646498093127,61902.68598545617,Historical,Улытау,2018
278,29745.858612803513,-10203.274941238507,70733.80046552536,Historical,Улытау,2019
279,38952.65578093695,-2747.8244828534703,77534.06483247384,Historical,Улытау,2020
280,48184.67705846173,8685.44661477319,91010.51821736348,Historical,Улытау,2021
281,57391.474234135334,16952.06784898507,98626.06883016122,Historical,Улытау,2022
282,66598.27140980895,22213.629649706407,108718.36860253125,Historical,Улытау,2023
283,75779.8444836314,35317.36897089332,116450.72626377689,Forecast,Улытау,2023
284,85011.86576115618,45406.664783009575,125282.76026294124,Forecast,Улытау,2024
285,94218.66293682979,51616.59808373119,134218.28256990665,Forecast,Улытау,2025
286,103425.46011250338,60502.67125980609,142885.45147434954,Forecast,Улытау,2026
287,112632.25728817699,71434.69364220994,156445.8138026305,Forecast,Улытау,2027
288,-59127.4670647,-338663.0164873331,221901.7275911276,Historical,Шымкент,2013
289,86100.55445520692,-196906.40939782385,347027.037326127,Historical,Шымкент,2014
290,231328.57598506912,-53683.89530133009,503618.95314617886,Historical,Шымкент,2015
291,376556.59753132757,81752.07243597302,667724.0131241777,Historical,Шымкент,2016
292,522182.50408785464,237457.8153566746,781333.4929356764,Historical,Шымкент,2017
293,667410.525670904,412490.9085489869,945242.1759445113,Historical,Шымкент,2018
294,812638.5472194516,524515.6033611057,1096633.6747635498,Historical,Шымкент,2019
295,957866.568795562,665647.2174966448,1208102.547979194,Historical,Шымкент,2020
296,1103492.475334916,828052.7188185409,1369123.3150280132,Historical,Шымкент,2021
297,1248720.4968837253,991181.6505352341,1531747.4632139115,Historical,Шымкент,2022
298,1393948.5184325343,1127903.641326124,1684086.1603206524,Historical,Шымкент,2023
299,1538778.654990799,1274968.6017039937,1823736.669774611,Forecast,Шымкент,2023
300,1684404.561530153,1389348.2461470568,1972615.6870762715,Forecast,Шымкент,2024
301,1829632.583078962,1546154.6459449169,2098283.3133959887,Forecast,Шымкент,2025
302,1974860.6046277708,1708488.6619941045,2256811.1143216984,Forecast,Шымкент,2026
303,2120088.6261765803,1846187.1942109475,2401683.408528034,Forecast,Шымкент,2027
